Name,Rating,Location
Cerveseria Catalana,4.4,"Carrer de Mallorca, 236, Barcelona, ES"
Ciutat Comtal,4.2,"Rambla de Catalunya, 18, Barcelona, ES"
Arume,4.6,"Carrer d'En Botella, 11, Barcelona, ES"
La Pepita,4.6,"Carrer de Còrsega, 343, Barcelona, ES"
My Fucking Restaurant,4.4,"Carrer Nou de la Rambla, 35, Barcelona, ES"
Casa Lolea,4.6,"Carrer de Sant Pere Mes Alt, 49, Barcelona, ES"
Churrería Laietana,4.8,"Via Laietana, 46, Barcelona, ES"
Micu Maku,4.8,"Carrer d'Aribau, 22, Barcelona, ES"
Arcano,4.5,"Carrer dels Mercaders, 10, Barcelona, ES"
Brunch & Cake,4.2,"Carrer d'Enric Granados, 19, Barcelona, ES"
Billy Brunch,4.8,"Carrer de Bailèn, 115, Barcelona, ES"
Somorrostro,4.4,"Carrer de Sant Carles, 11, Barcelona, ES"
Tapeo,4.6,"Carrer de Montcada, 29, Barcelona, ES"
TAPS,4.9,"Carrer de Mare de Deu del Remei, 53, Barcelona, ES"
Milk Bar & Bistro,4.5,"Carrer d'en Gignàs, 21, Barcelona, ES"
Cera 23,4.6,"Carrer de la Cera, 23, Barcelona, ES"
Restaurant La Tasqueta de Blai,4.5,"Carrer de Blai, 17, Barcelona, ES"
Hänsel,4.5,"Carrer de Provença, 237, Barcelona, ES"
Cañete,4.6,"Carrer de la Unió, 17, Barcelona, ES"
Vinitus,4.6,"Carrer Del Consell de Cent, 333, Barcelona, ES"
Amarre 69,4.6,"Paseo Juan de Borbón, 69, Barcelona, ES"
Guell,4.5,"Calle Nou de la Rambla, 20, Barcelona, ES"
Disfrutar,4.8,"Carrer de Villarroel, 163, Barcelona, ES"
El Asador de Aranda,4.7,"Calle Pau Claris, 70, Barcelona, ES"
Citizen Café,4.4,"Plaça d'Urquinaona, 4, Barcelona, ES"
La Catalista,5.0,"Carrer dels Carders, 11, Barcelona, ES"
Paisano Bistró ,4.8,"Carrer de Lepant, 277, Barcelona, ES"
Cremat 11,4.9,"Carrer Cremat Gran, 11, Barcelona, ES"
La Taverneta,4.8,"Carrer de Francesc Pujols, 6, Barcelona, ES"
Caravelle,4.6,"Carrer del Pintor Fortuny, 31, Barcelona, ES"
Breik,4.7,"Carrer dels Tallers, 72, Barcelona, ES"
Le Romane,4.9,"Carrer de Muntaner, 103, Barcelona, ES"
EatMyTrip Brunch & Bakery Barcelona,4.4,"Carrer del Consell de Cent, 378, Barcelona, ES"
Quimet & Quimet,4.6,"Carrer del Poeta Cabanyes, 25, Barcelona, ES"
Chez Cocó,4.5,"Avinguda Diagonal, 465, Barcelona, ES"
La Paradeta,4.4,"Passatge de Simó, 18, Barcelona, ES"
Sucursal Aceitera,4.9,"Carrer del Comte Borrell, 36, Barcelona, ES"
Tosca,4.3,"Carrer de Sant Pere Més Alt, 8, Barcelona, ES"
Jansana,4.8,"Carrer de Balmes, 106, Barcelona, ES"
Tucco Real Food Born,4.7,"Carrer del Consolat de Mar, 23, Barcelona, ES"
Tickets,4.5,"Avenida del Paral·lel, 164, Barcelona, ES"
La Flauta,4.3,"Carrer d'Aribau, 23, Barcelona, ES"
El Pintxo de Petritxol,4.2,"Carrer de Petritxol, 9, Barcelona, ES"
Bo de Boqueria,4.6,"Carrer Petxina, 5-7, Barcelona, ES"
Vinitus Germà Petit,4.8,"Carrer d'Aragó, 282, Barcelona, ES"
The Venue Steakhouse,4.8,"Carrer del Rosselló, 365, Barcelona, ES"
Ugot Bruncherie,4.6,"Carrer de Viladomat, 138, Barcelona, ES"
Federal,4.4,"Passatge de la Pau, 11, Barcelona, ES"
Encercle,4.8,"Carrer de Còrsega, 372, Barcelona, ES"
Bodega Biarritz 1881,4.4,"Carrer del Vidre, 8, Barcelona, ES"
