Name,Rating,Location
Rosa Negra,4.2,"Via Laietana, 46"
Luzia,4.0,"Carrer del Pintor Fortuny, 1"
Bilbao Berria,3.9,"Plaça Nova, 3"
Arcano,4.5,"Carrer dels Mercaders, 10"
Arume,4.6,"Carrer d'En Botella, 11"
Casa Lolea,4.6,"Carrer de Sant Pere Mes Alt, 49"
Cera 23,4.6,"Carrer de la Cera, 23"
Cañete,4.6,"Carrer de la Unió, 17"
La Plassohla,4.0,Hotel Ohla
El Pintxo de Petritxol,4.2,"Carrer de Petritxol, 9"
Irati Taverna Basca,4.2,"Carrer del Cardenal Casañas, 17"
RAÓ RESTAURANT,4.6,"Carrer de les Sitges, 3"
Elsa y Fred,4.5,"Carrer del Rec Comtal, 11"
Bun Bo,3.5,"Carrer dels Sagristans, 3"
Teresa Carles,4.5,"Carrer de Jovellanos, 2"
Tapeo,4.6,"Carrer de Montcada, 29"
Pinotxo Bar,4.4,"La Rambla, 91"
Churrería Laietana,4.8,"Via Laietana, 46"
Els 4 Gats,3.4,"Carrer Montsió, 3"
La Central,4.2,"Via Laietana, 45"
El Quim de la Boqueria,4.5,"La Rambla, 91"
Viana,4.7,"Carrer del Vidre, 7"
Suculent,4.5,"Rambla del Raval, 45"
El Xampanyet,4.6,"Carrer de Montcada, 22"
Hard Rock Cafe,3.5,"Plaça de Catalunya, 21"
Sensi,4.4,"Carrer Ample, 26"
Onofre,4.6,"Carrer de les Magdalenes, 19"
El Cercle,3.7,"Carrer dels Arcs, 5"
Koy Shunka,4.6,"Carrer d'en Copons, 7"
Xaloc,4.2,"Carrer de la Palla, 13"
Viena,4.3,"La Rambla del Estudis, 115"
Alsur Café - Palau,4.1,"Carrer Sant Pere Més Alt, 4"
Lasarte,4.6,"Carrer de Mallorca, 259"
Tabarlot,4.4,"Carrer de San Pau, 4"
Tucco Real Food Born,4.7,"Carrer del Consolat de Mar, 23"
El Nacional,3.8,"Passeig de Gracia, 24"
Bar del Pla,4.3,"Carrer de Montcada, 2"
Llamber,4.3,"Carrer Fusina, 5"
Sensi Bistro,4.6,"Carrer del Regomir, 4"
Lluís de les Moles,5.0,"Carrer de les Moles, 25"
Casa Guinart,3.9,"La Rambla, 95"
Bodega La Puntual,4.4,"Carrer de Montcada, 22"
El Bitxo,4.5,Carrer de Verdaguer i Callís 9
Cuines Santa Caterina,3.8,"Avinguda de Francesc Cambó, 16"
Caelis,4.5,Via Laietana 49
